FREQ,AMP_MULT,DLY,PHASE
800,0.817318,125,-14.247586
820,0.854720,131,-15.304757
840,0.803692,136,-16.276442
860,0.723980,141,-17.276622
880,0.669451,144,-18.054541
900,0.616445,148,-18.977784
920,0.576312,151,-19.792746
940,0.569761,154,-20.624805
960,0.567034,158,-21.610738
980,0.543222,161,-22.479841
1000,0.515180,163,-23.223565
1020,0.508085,166,-24.124012
1040,0.511051,168,-24.893382
1060,0.524109,171,-25.825174
1080,0.550161,173,-26.620189
1100,0.564664,176,-27.583326
1120,0.530605,179,-28.563560
1140,0.500847,181,-29.398468
1160,0.500847,183,-30.244775
1180,0.538692,185,-31.102480
1200,0.563109,187,-31.971582
1220,0.579068,189,-32.852083
1240,0.573941,191,-33.743982
1260,0.564696,193,-34.647279
1280,0.576651,195,-35.561974
1300,0.603736,197,-36.488067
1320,0.578436,199,-37.425558
1340,0.540461,200,-38.183530
1360,0.528335,201,-38.947200
1380,0.566188,203,-39.913187
1400,0.624347,204,-40.691105
1420,0.634437,206,-41.677038
1440,0.622513,208,-42.674369
1460,0.624491,209,-43.475083
1480,0.634434,211,-44.492361
1500,0.631435,212,-45.307323
1520,0.608270,214,-46.344547
1540,0.540249,215,-47.173756
1560,0.483769,216,-48.008665
1580,0.525140,216,-48.624161
1600,0.651795,217,-49.467618
1620,0.775982,219,-50.547585
1640,0.779715,221,-51.638950
1660,0.709390,222,-52.505203
1680,0.665585,223,-53.377155
1700,0.645178,224,-54.254806
1720,0.615890,226,-55.383215
1740,0.548756,227,-56.275114
1760,0.510372,227,-56.921955
1780,0.551981,227,-57.568795
1800,0.624497,228,-58.472092
1820,0.688022,229,-59.381088
1840,0.712198,230,-60.295783
1860,0.718363,232,-61.481182
1880,0.710265,233,-62.410125
1900,0.627859,234,-63.344766
1920,0.563963,234,-64.011553
1940,0.589533,235,-64.954743
1960,0.633179,235,-65.624380
1980,0.602432,236,-66.576119
2000,0.584701,237,-67.533556
2020,0.645496,237,-68.208892
2040,0.705189,238,-69.174878
2060,0.748936,239,-70.146564
2080,0.794849,240,-71.123948
2100,0.765993,241,-72.107031
2120,0.653215,241,-72.793765
2140,0.617494,241,-73.480499
2160,0.686006,242,-74.474980
2180,0.766326,242,-75.164563
2200,0.816335,243,-76.167593
2220,0.887924,243,-76.860026
2240,0.981871,244,-77.871605
2260,1.050497,245,-78.888882
2280,1.112269,245,-79.587014
2300,1.171153,246,-80.612840
2320,1.352952,246,-81.313821
2340,1.673640,247,-82.348196
2360,2.069263,248,-83.388270
2380,2.311856,249,-84.434043
2400,2.195767,251,-85.827456
2420,2.002942,251,-86.542685
2440,1.924335,252,-87.605555
2460,1.769120,253,-88.674124
2480,1.539538,254,-89.748392
2500,1.467084,254,-90.472169
2520,1.461107,255,-91.554986
2540,1.324178,255,-92.281613
2560,1.241233,256,-93.372978
2580,1.230550,256,-94.102454
2600,1.264517,256,-94.831931
2620,1.297967,257,-95.934694
2640,1.324292,258,-97.043156
2660,1.238953,258,-97.778331
2680,1.046109,259,-98.895342
2700,0.960204,259,-99.633367
2720,1.028228,259,-100.371392
2740,1.063831,259,-101.109417
2760,1.092954,260,-102.240675
2780,1.200609,260,-102.981550
2800,1.284634,261,-104.121357
2820,1.245660,261,-104.865080
2840,1.159098,262,-106.013436
2860,1.057345,262,-106.760009
2880,0.948181,263,-107.916913
2900,0.844935,263,-108.666336
2920,0.861542,263,-109.415759
2940,0.944347,263,-110.165182
2960,0.924492,264,-111.336334
2980,0.877479,264,-112.088606
3000,1.056552,264,-112.840879
3020,1.163428,265,-114.023429
3040,1.052750,265,-114.778551
3060,1.048708,265,-115.533673
3080,1.142660,266,-116.727620
3100,1.220763,266,-117.485592
3120,1.151858,267,-118.688088
3140,0.937505,267,-119.448909
3160,0.807370,267,-120.209730
3180,0.722967,267,-120.970551
3200,0.738377,267,-121.731372
3220,0.964465,267,-122.492194
