FREQ,AMP_MULT,DLY,PHASE
559.863281,0.832226,974,-77.693059
581.396484,0.805691,1009,-83.580477
602.929688,0.682629,1039,-89.253138
624.462891,0.704165,1066,-94.842964
645.996094,0.820717,1092,-100.506421
667.529297,0.880341,1119,-106.424519
689.062500,0.832737,1142,-112.115588
710.595703,0.811078,1164,-117.846540
732.128906,0.885630,1184,-123.503861
753.662109,1.049862,1204,-129.283901
775.195312,1.191199,1224,-135.186659
796.728516,1.092918,1243,-141.098621
818.261719,0.963986,1260,-146.894000
