FREQ,AMP_MULT,DLY,PHASE
43.066406,0.600000,1007,-6.178875
64.599609,0.600000,995,-9.157865
86.132812,1.191969,949,-11.645982
107.666016,2.013290,1000,-15.339808
129.199219,1.691111,1130,-20.800779
150.732422,1.317447,1233,-26.479576
172.265625,1.059113,1304,-32.004975
193.798828,0.960974,1358,-37.496626
215.332031,0.960974,1404,-43.074181
236.865234,0.946254,1444,-48.731502
258.398438,0.946254,1478,-54.413367
279.931641,0.946254,1508,-60.144319
301.464844,0.906630,1533,-65.844591
322.998047,0.873155,1555,-71.560204
344.531250,0.788545,1575,-77.312632
366.064453,0.738799,1590,-82.927001
387.597656,0.738799,1604,-88.578187
409.130859,0.773343,1619,-94.373566
430.664062,0.732317,1631,-100.076907
452.197266,0.708488,1642,-105.789451
473.730469,0.635633,1651,-111.434500
495.263672,0.635633,1659,-117.064210
516.796875,0.691013,1667,-122.743007
538.330078,0.787816,1675,-128.470891
559.863281,0.845225,1683,-134.247863
581.396484,0.805691,1009,-83.580477
602.929688,0.682629,1039,-89.253138
624.462891,0.704165,1066,-94.842964
645.996094,0.820717,1092,-100.506421
667.529297,0.880341,1119,-106.424519
689.062500,0.832737,1142,-112.115588
710.595703,0.811078,1164,-117.846540
732.128906,0.885630,1184,-123.503861
753.662109,1.049862,1204,-129.283901
775.195312,1.191199,1224,-135.186659
796.728516,1.027916,1022,-116.011899
818.261719,0.937122,1045,-121.828754
839.794922,0.840298,1067,-127.667085
861.328125,0.737246,1087,-133.394969
882.861328,0.700347,1105,-138.993999
904.394531,0.687571,1123,-144.703476
925.927734,0.674358,1140,-150.391476
947.460938,0.689473,1157,-156.183788
968.994141,0.689473,1173,-161.942352
990.527344,0.688160,1189,-167.799090
1012.060547,0.623696,1203,-173.465615
1033.593750,0.549623,1217,-179.218043
1055.126953,0.529716,1229,-184.755714
1076.660156,0.536277,1241,-190.367016
1098.193359,0.589937,1253,-196.051949
1119.726562,0.666440,1265,-201.810512
1141.259766,0.695533,1277,-207.642707
1162.792969,0.658401,1288,-213.382864
1184.326172,0.638510,1299,-219.190515
1205.859375,0.654886,1309,-224.893855
1227.392578,0.635348,1320,-230.833429
1248.925781,0.571567,1329,-236.484614
1270.458984,0.554809,1337,-242.010013
1291.992188,0.605351,1346,-247.768577
1313.525391,0.665914,1354,-253.395218
1335.058594,0.747127,1363,-259.261161
1356.591797,0.807158,1372,-265.182327
1378.125000,0.738186,1380,-270.962366
1399.658203,0.625683,1388,-276.791493
1421.191406,0.587136,1394,-282.264737
1442.724609,0.613722,1401,-287.980349
1464.257812,0.643975,1408,-293.738913
1485.791016,0.719801,1415,-299.540428
1507.324219,0.774119,1421,-305.170138
1528.857422,0.761536,1428,-311.054488
1550.390625,0.773782,1434,-316.760897
1571.923828,0.839089,1441,-322.728082
1593.457031,0.757401,1447,-328.511190
1614.990234,0.594007,1452,-334.101016
1636.523438,0.594007,1457,-339.721521
1658.056641,0.752092,1462,-345.372706
1679.589844,0.889002,1468,-351.293872
1701.123047,0.889002,1474,-357.251854
1722.656250,0.797907,1479,-363.001214
1744.189453,0.714177,1483,-368.532748
1765.722656,0.686734,1488,-374.340400
1787.255859,0.690635,1492,-379.924090
1808.789062,0.700504,1497,-385.790032
1830.322266,0.700504,1501,-391.425878
1851.855469,0.741994,1505,-397.086267
1873.388672,0.748347,1510,-403.038112
1894.921875,0.701664,1514,-408.750657
1916.455078,0.719284,1518,-414.487745
1937.988281,0.758347,1522,-420.249377
1959.521484,0.705467,1526,-426.035552
1981.054688,0.673286,1529,-431.564019
2002.587891,0.728992,1532,-437.110893
2024.121094,0.781042,1536,-442.964564
2045.654297,0.864281,1540,-448.842779
2067.187500,0.956618,1543,-454.451012
2088.720703,0.920684,1547,-460.375246
2110.253906,0.862828,1550,-466.023363
2131.787109,0.849418,1553,-471.689888
2153.320312,0.907754,1556,-477.374821
2174.853516,0.964596,1559,-483.078162
2196.386719,1.045164,1562,-488.799910
2217.919922,1.186194,1565,-494.540066
2239.453125,1.297148,1568,-500.298630
2260.986328,1.498363,1571,-506.075602
2282.519531,2.048983,1574,-511.870981
2304.052734,2.572306,1577,-517.684768
