FREQ,AMP_MULT,DLY,PHASE
796.728516,0.749474,319,1.699141987
818.261719,0.783805,307,2.265512602
839.794922,0.730123,296,0.690290563
861.328125,0.653683,285,2.256661177
882.861328,0.604458,274,0.681439138
904.394531,0.553892,263,2.247809752
925.927734,0.523952,253,1.672587713
947.460938,0.523952,244,2.097365674
968.994141,0.516536,235,2.522143634
990.527344,0.486211,226,2.946921595
1012.060547,0.470496,217,0.230106902
1033.59375,0.47201,209,1.654884863
1055.126953,0.482971,201,3.079662824
1076.660156,0.507262,194,2.362848131
1098.193359,0.522528,187,1.646033438
1119.726562,0.485754,181,1.929218745
1141.259766,0.456376,174,1.212404053
1162.792969,0.467612,167,0.49558936
1184.326172,0.507648,161,0.778774667
1205.859375,0.526319,156,2.061959974
1227.392578,0.535901,150,2.345145281
1248.925781,0.527613,145,0.486737935
1270.458984,0.525523,140,1.769923242
1291.992188,0.558924,135,3.053108549
1313.525391,0.549477,130,1.194701203
1335.058594,0.507169,126,0.336293856
1356.591797,0.486282,121,1.619479164
1378.125,0.525769,116,2.902664471
1399.658203,0.584478,112,2.044257124
1421.191406,0.596855,108,1.185849778
1442.724609,0.583417,104,0.327442432
1464.257812,0.587719,100,2.610627739
1485.791016,0.593935,97,2.752220392
1507.324219,0.583449,94,2.893813046
1528.857422,0.544193,90,2.035405699
1550.390625,0.467484,86,1.176998353
1571.923828,0.464054,82,0.318591007
1593.457031,0.566794,78,2.601776314
1614.990234,0.705701,76,0.601776314
1636.523438,0.743819,73,0.743368967
1658.056641,0.675667,71,1.884961621
1679.589844,0.625583,68,2.026554275
1701.123047,0.603502,65,2.168146928
1722.65625,0.573915,63,0.168146928
1744.189453,0.500924,60,0.309739582
1765.722656,0.483627,56,2.592924889
1787.255859,0.544058,53,2.734517543
1808.789062,0.612598,51,0.734517543
1830.322266,0.651775,49,1.876110196
1851.855469,0.659874,47,3.01770285
1873.388672,0.661036,44,0.01770285
1894.921875,0.59726,42,1.159295503
1916.455078,0.522813,40,2.300888157
1937.988281,0.540387,37,2.442480811
1959.521484,0.585794,35,0.442480811
1981.054688,0.552315,33,1.584073464
2002.587891,0.551502,30,1.725666118
2024.121094,0.615182,28,2.867258771
2045.654297,0.667092,26,0.867258771
2067.1875,0.713361,25,3.008851425
2088.720703,0.745716,23,1.008851425
2110.253906,0.649009,22,0.008851425
2131.787109,0.556714,19,0.150444078
2153.320312,0.596506,17,1.292036732
2174.853516,0.683757,15,2.433629386
2196.386719,0.73064,13,0.433629386
2217.919922,0.801914,12,2.575222039
2239.453125,0.893899,10,0.575222039
2260.986328,0.957279,8,1.716814693
2282.519531,1.02724,7,0.716814693
2304.052734,1.093403,5,1.858407346
2325.585938,1.303305,4,0.858407346
2347.119141,1.690563,2,2
2368.652344,2.157715,1,1
2390.185547,2.262871,1,1
